Barcode,Name,Sales Price,Sales Description,Description for the website,Origin,Website Product Category,barcode_norm,expiration_date,date_repaired
8001876002107,Arborio Rice COLAVITA,5.00,500g,,Italy,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Ryžiai,8001876002107,,
8684477430090,Arbūzų ir braškių skonio gėrimas su bazilikų sėklomis MONTANA,2.40,250ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,8684477430090,,
8691685014790,Argano aliejaus dušo želė EYUP SABRI,6.90,600ml,,,Pramoninės prekės - higienos priemonės,8691685014790,,
8717552025888,Argentina spice mix GÜLCAN,1.99,200g,,,Prieskoniai / Prieskonių mišiniai,8717552025888,,
8690576029806,Arpa Şehriye ANKARA,2.50,500g,,,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Makaronai,8690576029806,,
8690946140001,Arpa Şehriye MUTLU,2.49,500g,,,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Makaronai,8690946140001,,
8697401090147,Artichoke vinegar SENAY,3.80,500ml,,,Actas - aliejus / Actas,8697401090147,,
8691573024146,Artichokes BURCU,5.90,540g,,,Džiovinti vaisiai - daržovės,8691573024146,,
8680518470223,Astrus Bulguro Kotletai Cig Kofte CESA,9.95,,,,,8680518470223,,
8717552025659,Atlantic ocean Sea Salt GÜLCAN,1.10,400g,,,Prieskoniai / Grynieji prieskoniai,8717552025659,,
8682079004015,Atomo Arbata ZIYA DEDE,12.99,150g,,,,8682079004015,,
201605,Avienos prieskoniai,0.95,50g,,Turkey,Prieskoniai,201605,,
4260467596065,Avienos sūris CHORIKOS,4.50,150g,,,Pieno produktai / Pieno produktai,4260467596065,,
4260193514920,Avienos sūris YOREM,9.95,400g,,,Pieno produktai / Pieno produktai,4260193514920,,
4027394003550,Avies pieno jogurtas 5% riebumo YAYLA,2.75,250g,"Pieno produktai yra svarbiausios YAYLA produktų asortimento dalys, todėl jie yra perdirbami ir gaminami tik iš aukščiausios kokybės, pripažintų, sertifikuotų, ekologiškai tvarių Europos ūkių ingredientų. Gamyba vykdoma naudojant moderniausias technologijas, kurios atitinka reikalavimus energijos vartojimo efektyvumo, tvarumo ir kokybės atžvilgiu. Klientai gauna produktą, kuriuo gali mėgautis žinodami, jog jis buvo pagamintas atsakingai ir kokybiškai.",,Pieno produktai / Pieno produktai,4027394003550,,
5701638110240,Avių sūris SUTDIYARI,5.95,200g,,,Pieno produktai / Pieno produktai,5701638110240,,
3155700001424,Avocado oil HUIKERIE DE LAPALISSE,8.90,250ml,,,Actas - aliejus / Aliejus,3155700001424,,
4260193516023,Ayran Yoghurt Drink YOREM,1.00,244ml,,,Pieno produktai / Pieno produktai,4260193516023,,
4027394036909,Ayran yoghurt drink YAYLA,1.00,250ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą. Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite. Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394036909,,
4027394003635,Ayran yoghurt drink YAYLA,6.00,1000ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą. Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite. Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394003635,,
4027394003048,Ayran yoghurt drink YAYLA,1.50,330ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą.    Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite.  Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394003048,,
4027394003734,Ayran yoghurt drink YAYLA,1.20,330ml,"Pieno produktai yra svarbiausios YAYLA produktų asortimento dalys, todėl jie yra perdirbami ir gaminami tik iš aukščiausios kokybės, pripažintų, sertifikuotų, ekologiškai tvarių Europos ūkių ingredientų. Gamyba vykdoma naudojant moderniausias technologijas, kurios atitinka reikalavimus energijos vartojimo efektyvumo, tvarumo ir kokybės atžvilgiu. Klientai gauna produktą, kuriuo gali mėgautis žinodami, jog jis buvo pagamintas atsakingai ir kokybiškai.",,Pieno produktai / Pieno produktai,4027394003734,,
4027394003086,Ayran yoghurt drink YAYLA,1.00,250ml,,,Pieno produktai / Pieno produktai,4027394003086,,
4027394023008,Ayran yoghurt drink YAYLA Lactose free,2.75,1000ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą. Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite. Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394023008,,
4027394003741,Ayran yogurt drink YAYLA,3.00,1000ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą.    Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite.  Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394003741,,
4027394040005,Ayran yogurt drink with mint YAYLA,3.00,1000ml,"„Ayran“ natūralaus jogurto gėrimas pasižymintis šiek tiek sūriu skoniu ne tik atgaivina, bet ir turi daug naudingųjų savybių. Šis gėrimas skatina žarnyno veiklą, suteikia sotumo jausmą. Jeigu dėl įtampos neužmiegate vakarais, valandą prieš miegą išgerkite „Ayran“, sakoma, jog jis nuramins ir lengviau užmigsite. Sveika ir skanu!",,Pieno produktai / Pieno produktai,4027394040005,,
8697436520633,Aštrios kopūstų salotos EFENDILER,2.99,330g,,,Konservuotas maistas / Konservuotos daržovės,8697436520633,,
8693234333215,Aštrios raudonųjų ropių sultys 330ml GULCAN,0.99,1000ml,,,Gėrimai (sultys - gaivieji gėrimai) / Sultys - nektarai ir sulčių gėrimai,8693234333215,,
8853662060460,Aštrus Sriracha padažas su kanapėmis,6.95,455ml,,Thailand,Padažai - pastos ir užtepėlės / Padažai,8853662060460,,
8853662060453,Aštrus Sriracha padažas su kanapėmis,5.95,200ml,,Thailand,Padažai - pastos ir užtepėlės / Padažai,8853662060453,,
8697464690919,Aštrūs kviečių traškučiai su čiobreliais HASIROGLU 225g.,5.90,200g,,,Riešutai - sėklos ir užkandžiai / Užkandžiai,8697464690919,,
201601,Aštrūs pipirai malta,1.25,50g,,Turkey,Prieskoniai,201601,,
4262457390134,Aštrūs pipirai malta ALIBABA,3.90,100g,,,Prieskoniai / Grynieji prieskoniai,4262457390134,,
4262457390110,Aštrūs čili paprikų dribsniai ALIBABA,3.75,100g,,,Prieskoniai / Grynieji prieskoniai,4262457390110,,
8711327403864,BALTIJA vaniles ledai,2.35,150ml,,,Pieno produktai / Pieno produktai,8711327403864,,
8425408221413,BBQ Flavored Roasted corn CASAMAYOR,4.90,250g,,,Riešutai - sėklos ir užkandžiai / Riešutai,8425408221413,,
5900259106667,BBQ Flavoured DORITOS,3.25,100g,,,Riešutai - sėklos ir užkandžiai / Riešutai,5900259106667,,
4027394095364,BBQ garlic sausage for grilling YAYLA,6.90,250g,,,Mėsos ir paukštienos gaminiai,4027394095364,,
8690637805219,BBQ sauce Calve 290g,3.60,300g,,,Padažai - pastos ir užtepėlės / Padažai,8690637805219,,
4779031860582,BCAA juodųjų serbentų skonio HEALTHY CHOICE,63.00,400g,,,Sveikatos produktai,4779031860582,,
4860019001636,BORJOMI Gazuotas,2.85,1000ml,,,Gėrimai (sultys - gaivieji gėrimai) / Vanduo,4860019001636,,
4860019002879,BORJOMI With Citrus & Ginger,0.95,330ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,4860019002879,,
